Date,Open,High,Low,Close,Volume
10/15/2015,08:30,25.006,25.006,24.915,24.963,342984
10/15/2015,09:00,24.954,24.999,24.927,24.99,214458
10/15/2015,09:30,24.992,25.253,24.891,25.233,32932234
10/15/2015,10:00,25.233,25.235,25.031,25.08,16520106
10/15/2015,10:30,25.08,25.17,25.053,25.109,7931153
10/15/2015,11:00,25.107,25.118,25.008,25.057,7366588
10/15/2015,11:30,25.056,25.069,24.895,24.927,10996153
10/15/2015,12:00,24.927,24.991,24.9,24.988,7945779
10/15/2015,12:30,24.99,25.069,24.974,25.062,7502132
10/15/2015,13:00,25.06,25.172,25.053,25.157,8900525
10/15/2015,13:30,25.157,25.166,25.096,25.132,6931477
10/15/2015,14:00,25.132,25.235,25.131,25.163,10120386
10/15/2015,14:30,25.165,25.186,25.132,25.161,7034380
10/15/2015,15:00,25.16,25.204,25.136,25.197,7824781
10/15/2015,15:30,25.195,25.208,25.157,25.197,15804477
10/15/2015,16:00,25.199,25.199,25.177,25.19,6962559
10/15/2015,16:30,25.188,25.195,25.186,25.186,29723
10/15/2015,17:00,25.186,25.195,25.177,25.186,51734
10/15/2015,17:30,25.186,25.193,25.177,25.188,13583
10/15/2015,18:00,25.19,25.195,25.184,25.193,16678
10/15/2015,18:30,25.184,25.22,25.184,25.217,26599
10/15/2015,19:00,25.215,25.217,25.204,25.208,19519
10/15/2015,19:30,25.204,25.22,25.204,25.217,40331
10/16/2015,04:00,25.211,25.211,25.211,25.211,444
10/16/2015,04:30,25.222,25.222,25.222,25.222,444
10/16/2015,05:00,25.233,25.233,25.217,25.217,2664
10/16/2015,06:00,25.193,25.193,25.186,25.186,3467
10/16/2015,06:30,25.181,25.181,25.15,25.163,11497
10/16/2015,07:00,25.148,25.148,25.118,25.118,29281
10/16/2015,07:30,25.134,25.141,25.132,25.141,11986
10/16/2015,08:00,25.148,25.197,25.118,25.13,268597
10/16/2015,08:30,25.13,25.134,25.084,25.102,367568
10/16/2015,09:00,25.118,25.229,25.084,25.123,2447340
10/16/2015,09:30,25.181,25.231,25.039,25.129,28591646
10/16/2015,10:00,25.13,25.204,25.021,25.068,16351669
10/16/2015,10:30,25.069,25.143,25.044,25.111,10795779
10/16/2015,11:00,25.111,25.175,25.087,25.114,9301585
10/16/2015,11:30,25.113,25.159,25.055,25.134,8528369
10/16/2015,12:00,25.134,25.138,25.001,25.008,9650817
10/16/2015,12:30,25.01,25.035,24.949,25.019,9669741
10/16/2015,13:00,25.021,25.039,24.972,25.01,5615156
10/16/2015,13:30,25.008,25.026,24.931,24.937,7525257
10/16/2015,14:00,24.938,24.974,24.9,24.94,9393302
10/16/2015,14:30,24.942,24.983,24.927,24.949,7436382
